id,name,url,description,section_l1,section_l2,platforms,is_open_source,is_recommended,source_file,source_line
advanced-ip-scanner-advanced-ip-scanner-com,Advanced IP Scanner,https://advanced-ip-scanner.com,Network scanner for detecting and analyzing devices on LAN. 🪟,Utility,,general|windows,false,false,README.md,659
affinity-affinity-studio,Affinity,https://www.affinity.studio/,"Professional creative suite for photo editing, graphic design, and desktop publishing. 🪟 🍎",Graphics Tools,,desktop,false,false,README.md,512
aide-play-google,AIDE,https://play.google.com/store/apps/details?id=com.aide.ui,Mobile IDE to code and build Android apps on the go. 🤖,Text Editors,,android|mobile,false,false,MOBILE.md,245
aimp-aimp-ru,AIMP,http://www.aimp.ru,Customizable audio player with a built-in equalizer and playlist management. 🤖,Audio,Audio Players,android|mobile,false,false,MOBILE.md,84
aimp-aimp-ru,AIMP,https://aimp.ru,Music player with a clean interface and powerful features. 🪟,Audio,Audio Players,windows,false,false,filter/windows-only.md,100
alchemy-al-chemy,Alchemy,https://al.chemy.org,Experimental drawing application focused on conceptual art creation. 🪟 🍎 🐧,Graphics Tools,,general|linux|macos|windows,false,false,README.md,496
algo-github-com,Algo,https://github.com/trailofbits/algo,Simple IPSEC VPN setup for secure cloud connections. 🪟 🍎 🐧 🟢,VPN and Proxy Tools,,general|linux|macos|windows,true,false,README.md,635
altsnap-github-com,AltSnap,https://github.com/RamonUnch/AltSnap,Snap windows to positions using keyboard shortcuts. 🪟 🟢,Utility,Window Management,windows,true,false,README.md,707
amadine-amadine-com,Amadine,https://amadine.com,Intuitive vector drawing app aimed at graphic designers. 🍎,Graphics Tools,,general|macos,false,false,README.md,497
amazon-games-gaming-amazon,Amazon Games,https://gaming.amazon.com,Platform for Prime Gaming titles. 🪟,Games,,general|windows,false,false,README.md,433
amazon-lumberyard-aws-amazon,Amazon Lumberyard,https://aws.amazon.com/lumberyard,"Free, cross-platform 3D game engine integrated with AWS and Twitch for multiplayer games. 🪟 🍎",Developer Tools,Game Engines,general|macos|windows,false,false,README.md,293
ambie-github-com,Ambie,https://github.com/jenius-apps/ambie,"Use white noise, nature sounds, & more to boost your productivity. 🪟 🟢",Audio,,general|windows,true,false,README.md,91
andy-andyroid-net,Andy,https://www.andyroid.net,Android emulator to run mobile games and apps on PC. 🪟 🍎,Mobile Emulators,,android|macos|mobile|windows,false,false,README.md,461
antstream-arcade-antstream-com,Antstream Arcade,https://www.antstream.com,Free tier with retro games playable via the cloud. 🪟 🍎 🐧,Games,Cloud Gaming,general|linux|macos|windows,false,false,README.md,453
any-video-converter-any-video-converter-com,Any Video Converter,https://any-video-converter.com,Supports batch conversion and output to various formats. 🪟 🍎,Video,Video Converters and Compressors,general|macos|windows,false,false,README.md,624
anydesk-anydesk-com,AnyDesk,https://anydesk.com,"Remote access solution for multiple devices, providing fast and secure connections. 🪟 🍎 🐧",Remote Access,,android|desktop|general|ios|linux|macos|mobile|windows,false,false,README.md,559
apache-openoffice-openoffice-org,Apache OpenOffice,https://openoffice.org,"Suite for documents, spreadsheets, etc. 🪟 🍎 🐧 🟢",Documents,Office Suites,general|linux|macos|windows,true,false,README.md,336
apidog-apidog-com,Apidog,https://apidog.com,"All-in-one workspace for API design, testing, and documentation. 🪟 🍎 🐧",Developer Tools,API Development,general|linux|macos|windows,false,false,README.md,260
appgamekit-appgamekit-com,AppGameKit,https://appgamekit.com,Flexible game engine for 2D and 3D games with simple scripting. 🪟 🍎 🐧,Developer Tools,Game Engines,general|linux|macos|windows,false,false,README.md,294
apple-books-apple-com,Apple Books,https://www.apple.com/apple-books,Manage and read eBooks with built-in audiobook features. 🍎,Documents,E-book,ios|mobile,false,false,MOBILE.md,221
appmgr-iii-play-google,AppMgr III,https://play.google.com/store/apps/details?id=com.a0soft.gphone.app2sd,Move apps to external storage and manage installed apps. 🤖,Utility,Application Management,android|mobile,false,false,MOBILE.md,368
aquasnap-nurgo-software-com,AquaSnap,https://nurgo-software.com/products/aquasnap,"Window snapping, docking, and stretching features. 🪟",Utility,Window Management,general|windows,false,false,README.md,708
arc-arc-net,Arc,https://arc.net,Vertical tab browser for modern productivity. 🪟 🍎,Browsers,,macos|web|windows,false,false,README.md,138
ardour-ardour-org,Ardour,https://ardour.org,"DAW for recording, editing, and mixing audio with professional features. 🪟 🍎 🐧",Audio,Music Production,general|linux|macos|windows,false,false,README.md,126
aria2-aria2-github,Aria2,https://aria2.github.io,"Lightweight, command-line download utility supporting multiple protocols. 🪟 🍎 🐧 🟢",Download Managers,,general|linux|macos|windows,true,false,README.md,423
aspect-aspect-bildhuus,Aspect,https://aspect.bildhuus.com,Photo organizer with peer-to-peer synchronization for secure image storage. 🪟 🍎 🐧,Graphics Tools,,general|linux|macos|windows,false,false,README.md,494
atom-atom-io,Atom,https://atom.io,"Highly customizable editor with Git integration, real-time collaboration, and extensive plugins. 🪟 🍎 🐧 🟢",Text Editors,,general|linux|macos|windows,true,false,README.md,392
audacious-github-com,Audacious,https://github.com/audacious-media-player/audacious,Lightweight audio player for simple music playback. 🪟 🐧 🟢,Audio,Audio Players,general|linux|windows,true,false,README.md,96
audacity-audacityteam-org,Audacity,https://audacityteam.org/download,Audio editor for recording and editing sounds. 🪟 🍎 🐧 🟢 ⭐,Audio,Audio Recording,general|linux|macos|windows,true,true,README.md,103
aurora-editor-auroraeditor-com,Aurora Editor,https://auroraeditor.com,"Fast, lightweight editor with modern design and syntax highlighting. 🍎 🟢",Text Editors,,general|macos,true,false,filter/macOS-only.md,345
autohotkey-autohotkey-com,AutoHotkey,https://autohotkey.com,Scripting language for task automation and custom hotkeys. 🪟 🟢 ⭐,Utility,,general|windows,true,true,README.md,656
avast-avast-com,Avast,https://avast.com/free-antivirus-download,Antivirus to help detect and isolate potential cyberthreats. 🪟 🍎 🐧,Security,Antivirus,general|linux|macos|windows,false,false,README.md,526
avast-mobile-security-avast-com,Avast Mobile Security,https://www.avast.com/en-us/mobile,"Protects against malware, phishing, and privacy threats. 🤖 🍎",Security,Antivirus,android|ios|mobile,false,false,MOBILE.md,276
avg-antivirus-avg-com,AVG Antivirus,https://avg.com/en-us/free-antivirus-download,"Free antivirus software to protect against viruses, malware, and spyware. 🪟 🍎",Security,Antivirus,general|macos|windows,false,false,README.md,527
avidemux-avidemux-sourceforge,Avidemux,https://avidemux.sourceforge.net,"Video editor designed for simple cutting, filtering and encoding tasks. 🪟 🍎 🐧 🟢",Video,Video Editors,general|linux|macos|windows,true,false,README.md,586
b1-archiver-b1-org,B1 Archiver,https://b1.org,Simple file compression tool with multi-format support and encryption. 🤖 🍎,Compression and Archiving,,android|ios|mobile,false,false,MOBILE.md,144
backdrops-backdrops-io,Backdrops,https://www.backdrops.io,Offers unique wallpapers with daily updates. 🤖 🍎,Customize,Wallpaper Tools,android|ios|mobile,false,false,MOBILE.md,157
bandizip-bandisoft-com,Bandizip,https://bandisoft.com/bandizip,"Fast, lightweight archive manager with extensive format support. 🪟",Compression and Archiving,,general|windows,false,false,README.md,192
bandlab-bandlab-com,BandLab,https://www.bandlab.com,"Free DAW for recording, mixing, and mastering music with cloud collaboration. 🤖 🍎",Audio,Music Production,android|ios|mobile,false,false,MOBILE.md,110
battle-net-blizzard-com,Battle.net,https://blizzard.com/en-us/apps/battle.net/desktop,Platform for Blizzard games. 🪟 🍎,Games,,general|macos|windows,false,false,README.md,434
bear-bear-app,Bear,https://bear.app,Minimalist note-taking app with powerful markdown support. 🍎,Note Taking,,ios|mobile,false,false,MOBILE.md,235
beecount-github-com,BeeCount,https://github.com/TNT-Likely/BeeCount/blob/main/README_EN.md,"Privacy-first cross-platform expense tracker with self-hostable cloud sync (BeeCount Cloud, iCloud, Supabase, WebDAV, S3) and offline-first design. 🤖 🍎",Finance,,mobile|web,false,false,MOBILE.md,249
beekeeper-studio-beekeeperstudio-io,Beekeeper Studio,https://beekeeperstudio.io,"Modern, lightweight SQL client supporting MySQL, Postgres, SQLite, SQL Server, etc. 🪟 🍎 🐧",Developer Tools,Database,cli|linux|macos|windows,false,false,README.md,276
beetroot-max-nardit,Beetroot,https://max.nardit.com/beetroot,Clipboard manager with AI text transforms and OCR extraction. 🪟,Utility,Clipboard Management,cli|windows,false,false,README.md,682
bethesda-launcher-bethesda-net,Bethesda Launcher,https://bethesda.net/en/game/bethesda-launcher,Launcher for Fallout and Elder Scrolls. 🪟,Games,,general|windows,false,false,README.md,435
betternet-betternet-co,Betternet,https://www.betternet.co,"Fast, free VPN for browsing securely and privately. 🤖 🍎",VPN and Proxy Tools,,android|ios|mobile,false,false,MOBILE.md,334
bitdefender-bitdefender-com,Bitdefender,https://bitdefender.com/solutions/free.html,Lightweight and powerful antivirus for essential protection. 🪟 🍎,Security,Antivirus,general|macos|windows,false,false,README.md,528
bitdefender-mobile-security-bitdefender-com,Bitdefender Mobile Security,https://www.bitdefender.com/solutions/mobile-security.html,Lightweight antivirus with advanced web protection. 🤖 🍎,Security,Antivirus,android|ios|mobile|web,false,false,MOBILE.md,277
bitwarden-bitwarden-com,Bitwarden,https://bitwarden.com,"Password manager for securely storing, managing, and sharing sensitive online data. 🪟 🍎 🐧",Security,Password Managers,android|general|ios|linux|macos|mobile|windows,true,false,README.md,535
blender-blender-org,Blender,https://blender.org,"3D creation tool supporting modeling, animation, rendering, video editing, and more. 🪟 🍎 🐧 🟢 ⭐",3D Modeling and Animation,,general|linux|macos|windows,true,true,README.md,516
blip-blip-net,Blip,https://blip.net,"Direct file transfer app with unlimited file sizes, folder support, and transfer resume. 🪟 🍎 ⭐",Data Management,Copy and Move,general,false,false,README.md,238
bluefish-bluefish-openoffice,Bluefish,https://bluefish.openoffice.nl/index.html,"Web developer editor supporting HTML, CSS, JavaScript, and PHP with built-in preview. 🪟 🍎 🐧 🟢",Text Editors,,linux|macos|web|windows,true,false,README.md,393
bluemail-bluemail-me,BlueMail,https://bluemail.me/desktop,Cross-platform email client with modern interface. 🪟 🍎 🐧,Communication,Email Clients,cli|linux|macos|windows,false,false,README.md,172
bluemail-bluemail-me,BlueMail,https://bluemail.me,Unified email client with smart push notifications and scheduling. 🤖 🍎,Communication,Email Clients,android|cli|ios|mobile,false,false,MOBILE.md,135
bluestacks-bluestacks-com,BlueStacks,https://www.bluestacks.com,Android emulator for playing mobile games on PC. 🪟 🍎 ⭐,Mobile Emulators,,android|macos|mobile|windows,false,true,README.md,460
bomi-player-bomi-player-github,Bomi Player,https://bomi-player.github.io,Advanced media player that supports a variety of video formats. 🐧,Video,Video Players,general|linux,false,false,README.md,592
boosteroid-boosteroid-com,Boosteroid,https://boosteroid.com,Free plan available for limited game streaming. 🪟 🍎 🐧,Games,Cloud Gaming,general|linux|macos|windows,false,false,README.md,454
brackets-brackets-io,Brackets,https://brackets.io,"Web-focused editor with live preview, CSS preprocessor support, and inline editing for HTML. 🪟 🍎 🐧 🟢",Text Editors,,linux|macos|web|windows,true,false,README.md,394
brave-brave-com,Brave,https://brave.com,Ad-blocking browser with built-in privacy tools and rewards system. 🤖 🍎,Browsers,,android|ios|linux|macos|mobile|web|windows,true,false,README.md,139
bruno-usebruno-com,Bruno,https://www.usebruno.com,"Offline API client that is fast, Git-friendly, and open source. 🪟 🍎 🐧 🟢",Developer Tools,API Development,cli|linux|macos|windows,true,false,README.md,261
bsnes-bsnes-dev,BSNES,https://bsnes.dev,SNES emulator with cycle-accurate emulation for high compatibility. 🪟 🍎 🐧,Other Emulators,,general|linux|macos|windows,false,false,README.md,487
bsplayer-bsplayer-com,BSPlayer,https://www.bsplayer.com,Lightweight video player with subtitle support and hardware acceleration. 🤖 🍎,Video,Video Players,android|ios|mobile,false,false,MOBILE.md,313
bulk-crap-uninstaller-bcuninstaller-com,Bulk Crap Uninstaller,https://www.bcuninstaller.com,Powerful tool for uninstalling multiple applications and cleaning leftovers. 🪟 🟢 ⭐,Utility,Application Management,general|windows,true,true,README.md,737
burp-suite-community-edition-portswigger-net,Burp Suite Community Edition,https://portswigger.net/burp/communitydownload,Class-leading vulnerability scanning and web app security. 🪟 🍎 🐧,Developer Tools,Network Analysis,linux|macos|web|windows,false,false,README.md,281
cakewalk-bandlab-com,Cakewalk,https://bandlab.com/products/cakewalk,Full-featured DAW for music recording and editing by BandLab. 🪟,Audio,Music Production,general|windows,false,false,README.md,127
calibre-calibre-ebook-com,Calibre,https://calibre-ebook.com,Powerful e-book manager. 🪟 🍎 🐧 🟢 ⭐,Documents,E-book,general|linux|macos|windows,true,true,README.md,348
calligra-suite-calligra-org,Calligra Suite,https://calligra.org,Office suite with word processing and vector graphics. 🪟 🍎 🐧,Documents,Office Suites,general|linux|macos|windows,false,false,README.md,337
canarymail-canarymail-io,CanaryMail,https://canarymail.io,Secure email app with PGP support and AI assistance. 🍎 🐧,Communication,Email Clients,cli|linux|macos,false,false,README.md,173
canva-canva-com,Canva,https://www.canva.com,Easy-to-use graphic design app with templates and editing tools. 🤖 🍎,Graphics Tools,,android|ios|mobile,false,false,MOBILE.md,260
capcut-desktop-capcut-com,Capcut Desktop,https://capcut.com/tools/desktop-video-editor,Simple video editor with many builtin effects. 🪟 🍎,Video,Video Editors,desktop|macos|windows,false,false,README.md,579
capter-github-com,Capter,https://github.com/decipher3114/Capter,Super simple screenshot tool. 🪟 🍎 🟢,Utility,Screenshot,general|macos|windows,true,false,README.md,743
cdisplayex-cdisplayex-com,CDisplayEx,https://www.cdisplayex.com,"Lightweight comic book reader (.cbr, .cbz, .pdf, manga). 🪟",Documents,,general|windows,false,false,README.md,331
cemu-cemu-info,Cemu,https://cemu.info,Wii U emulator that supports 4K resolution. 🪟,Other Emulators,,general|windows,false,false,README.md,476
charles-charlesproxy-com,Charles,https://charlesproxy.com,Debugging proxy to view HTTP and HTTPS traffic. 🪟 🍎 🐧,Developer Tools,Network Analysis,general|linux|macos|windows,false,false,README.md,282
chrome-google-com,Chrome,https://google.com/chrome,Fast browser with integrated Google services. 🪟 🍎 🐧,Browsers,,linux|macos|web|windows,false,false,README.md,140
chrome-remote-desktop-remotedesktop-google,Chrome Remote Desktop,https://remotedesktop.google.com,Securely access your desktop from mobile. 🤖 🍎,Remote Access,,android|desktop|ios|mobile,false,false,MOBILE.md,297
chromium-chromium-org,Chromium,https://chromium.org/Home,Browser project behind Chrome. 🪟 🍎 🐧 🟢,Browsers,,linux|macos|web|windows,true,false,README.md,141
citra-citra-emu-org,Citra,https://citra-emu.org,Nintendo 3DS emulator with great compatibility and performance. 🪟 🍎 🐧,Other Emulators,,general|linux|macos|windows,false,false,README.md,481
clamav-clamav-net,ClamAV,https://www.clamav.net,"Antivirus engine for detecting malware, viruses, and other threats. 🪟 🍎 🐧 🟢",Security,Antivirus,general|linux|macos|windows,true,false,README.md,529
cleardisk-github-com,ClearDisk,https://github.com/bysiber/cleardisk,"macOS menu bar app to visualize and clean developer caches (Xcode, node_modules, CocoaPods, Docker, pip, Cargo). 🍎 🟢",Utility,Space Visualizer,macos,true,false,README.md,755
clementine-player-clementine-player-org,Clementine Player,https://www.clementine-player.org,Music and video player with a user-friendly interface. 🪟 🍎 🐧,Video,Video Players,general|linux|macos|windows,false,false,README.md,593
clipangel-sourceforge-net,ClipAngel,https://sourceforge.net/projects/clip-angel,Clipboard manager supporting rich text and images. 🪟,Utility,Clipboard Management,cli|windows,false,false,README.md,683
clipboard-fusion-clipboardfusion-com,Clipboard Fusion,https://clipboardfusion.com,Clipboard manager with data transformation features. 🪟 🍎,Utility,Clipboard Management,cli|macos|windows,false,false,README.md,684
clipper-play-google,Clipper,https://play.google.com/store/apps/details?id=com.rojekti.clipper,Clipboard manager with history and easy access to copied content. 🤖,Utility,Clipboard Management,android|cli|mobile,false,false,MOBILE.md,346
clips-apps-apple,Clips,https://apps.apple.com/us/app/clips/id1218408435,Clipboard manager that organizes and stores copied text and images. 🍎,Utility,Clipboard Management,cli|ios|mobile,false,false,MOBILE.md,345
clipy-clipy-app-com,Clipy,https://clipy-app.com,Simple clipboard manager. 🍎 🟢,Utility,Clipboard Management,cli|macos,true,false,README.md,685
cloner-play-google,Cloner,https://play.google.com/store/apps/details?id=com.genonbeta.TrebleShot,Transfer files directly between Android devices using Wi-Fi. 🤖,Data Management,Sync and Clone,android|mobile,false,false,MOBILE.md,174
cloudflare-warp-developers-cloudflare,Cloudflare WARP,https://developers.cloudflare.com/cloudflare-one/connections/connect-devices/warp/download-warp,VPN and DNS service enhancing privacy and security. 🪟 🍎 🐧,VPN and Proxy Tools,,general|linux|macos|windows,false,false,README.md,636
cocoa-rest-client-mmattozzi-github,Cocoa Rest Client,https://mmattozzi.github.io/cocoa-rest-client,Native app for testing REST APIs. 🍎 🟢,Developer Tools,API Development,cli|macos,true,false,README.md,262
cocos2d-cocos-com,Cocos2d,https://www.cocos.com/en,"Game engine for mobile and web games, focused on 2D games. 🪟 🍎 🐧 🟢",Developer Tools,Game Engines,linux|macos|mobile|web|windows,true,false,README.md,295
codeedit-codeedit-app,CodeEdit,https://codeedit.app,"Native macOS editor with live preview, Git integration, and Markdown support. 🍎 🟢",Text Editors,,macos,true,false,README.md,395
collabora-online-collaboraoffice-com,Collabora Online,https://collaboraoffice.com,Cloud-based LibreOffice for collaboration. 🪟 🍎 🐧,Documents,Office Suites,general|linux|macos|windows,false,false,README.md,338
colorpicker-colorpicker-fr,Colorpicker,https://colorpicker.fr,Color manipulation tool for picking and modifying colors. 🪟 🍎 🐧 🟢,Graphics Tools,,general|linux|macos|windows,true,false,README.md,498
cookcli-github-com,CookCLI,https://github.com/cooklang/CookCLI,"Recipe manager with web server, shopping lists, and meal planning. 🪟 🍎 🐧 🟢",Utility,,cli|linux|macos|web|windows,true,false,README.md,660
copyclip-apps-apple,CopyClip,https://apps.apple.com/us/app/copyclip/id452100581,Simple clipboard manager to store and paste text snippets. 🍎,Utility,Clipboard Management,cli|ios|mobile,false,false,MOBILE.md,347
copyq-hluk-github,CopyQ,https://hluk.github.io/CopyQ,Clipboard manager with editing and scripting features. 🪟 🍎 🐧 🟢,Utility,Clipboard Management,cli|linux|macos|windows,true,false,README.md,686
coteditor-coteditor-com,CotEditor,https://coteditor.com,"Text editor with syntax highlighting, snippets, and regular expression search. 🍎 🟢",Text Editors,,general|macos,true,false,README.md,396
craft-docs-craft-do,Craft Docs,https://craft.do,Beautiful and powerful tool for creating and organizing documents and notes. 🪟 🍎,Note Taking,,general|macos|windows,false,false,README.md,378
cross-dj-free-mixvibes-com,Cross DJ Free,https://www.mixvibes.com/cross-dj-free,"Offers beat syncing, looping, and real-time effects. 🤖 🍎",Audio,DJ Software,android|ios|mobile,false,false,MOBILE.md,99
cryengine-cryengine-com,CryEngine,https://cryengine.com,Advanced game engine with cutting-edge graphics and tools for creating visually stunning games. 🪟,Developer Tools,Game Engines,general|windows,false,false,README.md,297
cx-file-explorer-cxfileexplorer-com,CX File Explorer,https://cxfileexplorer.com,Clean interface for managing files and transferring them to cloud or network storage. 🤖,Data Management,Copy and Move,android|mobile,false,false,MOBILE.md,167
dailyvox-getdailyvox-com,DailyVox,https://getdailyvox.com,"Free AI voice diary with on-device transcription, mood tracking, and Digital Twin. No cloud, no accounts. 🍎 🟢",Note Taking,,ios|mobile,true,false,MOBILE.md,238
database-client-apps-apple,DataBase Client,https://apps.apple.com/us/app/database-client/id1439482410,Manage and query MySQL and PostgreSQL databases on iOS. 🍎,Developer Tools,Database,cli|ios|mobile,false,false,MOBILE.md,190
davinci-resolve-blackmagicdesign-com,DaVinci Resolve,https://blackmagicdesign.com/products/davinciresolve,Professional video editor with advanced color correction and effects. 🪟 🍎 🐧 ⭐,Video,Video Editors,general|linux|macos|windows,false,true,README.md,578
db-client-play-google,DB Client,https://play.google.com/store/apps/details?id=io.dbclient,"Manage and query databases like MySQL, PostgreSQL, and SQLite. 🤖",Developer Tools,Database,android|cli|mobile,false,false,MOBILE.md,188
dbeaver-dbeaver-io,DBeaver,https://dbeaver.io,"Universal database tool for SQL databases like MySQL, MariaDB, PostgreSQL, SQLite, Apache Family, and more. 🪟 🍎 🐧 ⭐",Developer Tools,Database,general|linux|macos|windows,false,true,README.md,275
dcoder-dcoder-tech,Dcoder,https://dcoder.tech,Mobile IDE supporting multiple programming languages. 🤖 🍎,Text Editors,,android|ios|mobile,false,false,MOBILE.md,243
defold-defold-com,Defold,https://defold.com,Cross-platform 2D game engine with easy-to-use tools. 🪟 🍎 🐧,Developer Tools,Game Engines,general|linux|macos|windows,false,false,README.md,296
denemo-denemo-org,Denemo,https://denemo.org,Music notation software for fast score creation with LilyPond. 🪟 🍎 🐧,Audio,Music Notation,general|linux|macos|windows,false,false,README.md,118
diffinity-truehumandesign-se,Diffinity,https://truehumandesign.se/s_diffinity.php,Diff and merging tool with focus on accurate and easy-to-read source code diffs. 🪟,Developer Tools,,general|windows,false,false,README.md,249
diodon-github-com,Diodon,https://github.com/diodon-dev/diodon,Simple and minimal clipboard manager. 🐧 🟢,Utility,Clipboard Management,cli|linux,true,false,README.md,687
discord-discord-com,Discord,https://discord.com,"Communication platform for text, voice, and video, popular with gamers. 🪟 🍎 🐧 ⭐",Communication,Messaging,general|linux|macos|windows,false,true,README.md,161
disk-space-analyzer-apps-apple,Disk Space Analyzer,https://apps.apple.com/us/app/disk-space-analyzer/id1445583695,Visualize disk usage to free up space easily. 🍎,Utility,Space Visualizer,ios|mobile,false,false,MOBILE.md,381
disksavvy-disksavvy-com,DiskSavvy,https://disksavvy.com,Disk space analyzer with various reporting and filtering options. 🪟,Utility,Space Visualizer,general|windows,false,false,README.md,756
diskusage-play-google,DiskUsage,https://play.google.com/store/apps/details?id=com.google.android.diskusage,Visualize and analyze storage space usage with color-coded charts. 🤖,Utility,Space Visualizer,android|mobile,false,false,MOBILE.md,379
ditto-ditto-cp-sourceforge,Ditto,https://ditto-cp.sourceforge.io,Advanced clipboard manager with extended functionality for Windows. 🪟,Utility,Clipboard Management,cli|windows,false,false,README.md,688
dj-prodecks-djprodecks-com,DJ ProDecks,https://djprodecks.com,DJ software for mixing music and adding effects. 🪟,Audio,DJ Software,general|windows,false,false,README.md,109
djay-algoriddim-com,djay,https://www.algoriddim.com/djay,Combines music streaming with powerful DJ tools for seamless mixing. 🤖 🍎,Audio,DJ Software,android|ios|mobile,false,false,MOBILE.md,98
docker-docker-com,Docker,https://docker.com,Containerization platform for operating-system-level virtualization. 🪟 🍎 🐧 🟢 ⭐,Developer Tools,Virtualization,general|linux|macos|windows,true,true,README.md,315
documents-by-readdle-readdle-com,Documents by Readdle,https://readdle.com/documents,Manage files and sync with cloud storage services like Google Drive and Dropbox. 🍎,Data Management,Sync and Clone,ios|mobile,false,false,MOBILE.md,175
dolby-on-dolby-com,Dolby On,https://www.dolby.com/apps/dolby-on,Enhances audio recordings with noise reduction and spatial sound effects. 🤖 🍎,Audio,Audio Recording,android|ios|mobile,false,false,MOBILE.md,93
dolphin-dolphin-emu-org,Dolphin,https://dolphin-emu.org,GameCube and Wii emulator. 🪟 🍎 🐧,Other Emulators,,general|linux|macos|windows,false,false,README.md,473
dosbox-dosbox-com,DOSBox,https://dosbox.com,DOS emulator designed for running old DOS games and applications. 🪟 🍎 🐧,Other Emulators,,general|linux|macos|windows,false,false,README.md,478
double-commander-doublecmd-sourceforge,Double Commander,https://doublecmd.sourceforge.io,Dual-pane manager with built-in editor and advanced search. 🪟 🍎 🐧,Utility,File Management,general|linux|macos|windows,false,false,README.md,724
download-master-downloadmaster-com,Download Master,https://downloadmaster.com,Download manager by WestByte. 🪟,Download Managers,,general|windows,false,false,README.md,424
draw-io-github-com,Draw.io,https://github.com/jgraph/drawio-desktop,Desktop app for creating diagrams and flowcharts. 🪟 🍎 🐧 🟢,Graphics Tools,,desktop|linux|macos|windows,true,false,README.md,499
duckduckgo-privacy-browser-duckduckgo-com,DuckDuckGo Privacy Browser,https://duckduckgo.com/app,Focuses on privacy with no tracking and private search. 🤖 🍎,Browsers,,android|ios|mobile|web,false,false,MOBILE.md,119
duckstation-github-com,DuckStation,https://github.com/stenzek/duckstation,"PlayStation 1 emulator with focus on speed, accuracy, and modern enhancements. 🪟 🍎 🐧 🟢",Other Emulators,,general|linux|macos|windows,true,false,README.md,479
ea-app-ea-com,EA App,https://ea.com/ea-app,EA Origin alternative. 🪟,Games,,general|windows,false,false,README.md,436
eartrumpet-eartrumpet-app,EarTrumpet,https://eartrumpet.app,"Advanced volume control for Windows, offering app-specific audio management. 🪟",Audio,,windows,false,false,README.md,90
easy-voice-recorder-digipom-com,Easy Voice Recorder,https://www.digipom.com/portfolio-items/easy-voice-recorder,High-quality voice recording with playback features for notes and interviews. 🤖 🍎,Audio,Audio Recording,android|ios|mobile,false,false,MOBILE.md,92
ecopaste-github-com,EcoPaste,https://github.com/EcoPasteHub/EcoPaste,Cross-platform modern clipboard management tool. 🪟 🍎 🐧 🟢,Utility,Clipboard Management,cli|linux|macos|windows,true,false,README.md,689
edison-mail-mail-edison,Edison Mail,https://mail.edison.tech/mac,"Customizable, intuitive email client with smart features. 🪟 🍎 🐧",Communication,Email Clients,cli|linux|macos|windows,false,false,README.md,174
electronmail-github-com,ElectronMail,https://github.com/vladimiry/ElectronMail,Electron-based desktop client for ProtonMail. 🪟 🍎 🐧 🟢,Communication,Email Clients,cli|desktop|linux|macos|windows,true,false,README.md,175
element-element-io,Element,https://element.io,Secure messaging with Matrix protocol and decentralized features. 🤖 🍎 🟢,Communication,Messaging,android|ios|mobile,true,false,MOBILE.md,130
em-client-emclient-com,eM Client,https://emclient.com,Modern client to boost your productivity. 🪟,Communication,Email Clients,cli|windows,false,false,README.md,177
emacs-gnu-org,Emacs,https://gnu.org/software/emacs,"Customizable editor with robust scripting, project management, and multi-language support. 🪟 🍎 🐧 🟢",Text Editors,,general|linux|macos|windows,true,false,README.md,397
